site;date_deploy;plot;treatment;ID;notes
Madison;12/13/2019;1;control;3;
Madison;12/13/2019;2;snow reduction;68;
Madison;12/13/2019;3;control;46;
Madison;12/13/2019;4;control;2;
Madison;12/13/2019;5;control;44;
Madison;12/13/2019;6;snow reduction;48;
Madison;12/13/2019;7;snow reduction;122;
Madison;12/13/2019;8;snow reduction;52;
Madison;12/13/2019;9;snow reduction;142;
Madison;12/13/2019;10;control;81;
Madison;12/13/2019;air;air;99;At plot 7
Madison;;air;air;143;
Illinois;12/15/2019;1;control;87;
Illinois;12/15/2019;2;snow reduction;93;
Illinois;12/15/2019;3;snow reduction;138;
Illinois;12/15/2019;4;snow reduction;15;
Illinois;12/15/2019;5;control;123;
Illinois;12/15/2019;6;control;85;
Illinois;12/15/2019;7;snow reduction;25;
Illinois;12/15/2019;8;snow reduction;66;
Illinois;12/15/2019;9;control;45;
Illinois;12/15/2019;10;control;28;
Illinois;12/15/2019;air;air;10;at plot 8
Illinois;12/15/2019;air;air;110;at plot 4
Green Bay;12/17/2019;1;snow reduction;84;
Green Bay;12/17/2019;2;snow reduction;23;
Green Bay;12/17/2019;3;control;43;
Green Bay;12/17/2019;4;snow reduction;38;
Green Bay;12/17/2019;5;snow reduction;12;
Green Bay;12/17/2019;6;control;55;
Green Bay;12/17/2019;7;snow reduction;105;
Green Bay;12/17/2019;8;control;35;
Green Bay;12/17/2019;9;control;148;
Green Bay;12/17/2019;10;control;104;
Green Bay;12/17/2019;air;air;121;at plot 2
Green Bay;12/17/2019;air;air;32;at plot 8
